id,Basic Income Type,Income Test,Payment Unit,Payment Unit2,Benefit Level,scaling Factor,BRR,Break-Even Point,All Recipients, Gross Cost ,Gross Cost(M), Gross Cost to Parents , Gross Cost to Coupled Recipients , Gross Cost Families - Quartile 1 , Gross Cost Families - Quartile 2 , Gross Cost Families - Quartile 3 , Gross Cost Families - Quartile 4 , Gross Cost Individuals - Quartile 1 , Gross Cost Individuals - Quartile 2 , Gross Cost Individuals - Quartile 3 , Gross Cost Individuals - Quartile 4 ,Percentage Change in Poverty Rate,% change in PR,Poverty Rate After Basic Income,Poverty Reduction Efficiency,Poverty Reduction Efficiency (B),Mean Change in Depth of Poverty,% Change in PD,Depth of Poverty Efficiency,Percentage Change in Gini Coefficient (family income),Gini Coefficient (family income) Efficiency,Percentage Change in Gini Coefficient (individual income),Gini Coefficient (individual income) Efficiency,Mean Age of Recipients,Poverty Rate Before Basic Income, Poverty count with Basic Income , Total Number of People In Poverty Before BI , Mean Depth of Poverty After Basic Income , Mean Depth of Poverty Before BI (for recipients) ,"Gini Coefficient after BI, families",Gini Coefficient Before BI - family income,"Gini Coefficient after BI, individuals",Gini Coefficient Before BI - individual income,Total Mean Age,Total Number of Parents,Total Number of people that are in a Couple,Total Working-Age Population,Number of Recipients that are in a Couple,Number of Recipients that are Parents
1,RTC,Family,SQRT(2),Family,1000,sqrt(N),5,20000,558707,"$293,134,604 ",293,"$21,794,889 ","$25,047,630 ","$292,604,529 ","$530,054 ", $-   ,$22 ,"$287,420,217 ","$5,714,376 ", $-   ,$11 ,-0.156888485,-15.6888485,0.079818621,5.3521E-10,261890,-0.071166861,-7.116686092,2.42779E-10,-0.19514966,6.65734E-10,-0.219836295,7.4995E-10,32,0.094671488,"412,553","489,322","$1,884 ","$1,957 ",0.511788471,0.611663818,0.50143107,0.570196688,41,"1,695,015","2,481,629","5,168,631","60,199","57,240"
2,RTC,Family,SQRT(2),Family,1000,sqrt(N),10,10000,277201,"$176,309,426 ",176,"$13,602,997 ","$15,655,506 ","$176,307,751 ","$1,675 ", $-   , $-   ,"$176,298,483 ","$10,943 ", $-   , $-   ,-0.150301829,-15.0301829,0.08044219,8.52489E-10,417142,-0.031854632,-3.185463234,1.80675E-10,-0.193093419,1.0952E-09,-0.217728525,1.23492E-09,30,0.094671488,"415,776","489,322","$1,911 ","$1,957 ",0.512670513,0.611663818,0.502298997,0.570196688,41,"1,695,015","2,481,629","5,168,631","28,843","21,853"
3,RTC,Family,SQRT(2),Family,1000,sqrt(N),15,6666.666667,202114,"$146,859,209 ",147,"$11,834,727 ","$12,424,883 ","$146,859,197 ",$13 , $-   , $-   ,"$146,859,197 ",$13 , $-   , $-   ,-0.150301829,-15.0301829,0.08044219,1.02344E-09,500793,-0.027551978,-2.755197814,1.87608E-10,-0.192544997,1.31109E-09,-0.217147276,1.47861E-09,30,0.094671488,"415,776","489,322","$1,918 ","$1,957 ",0.512906278,0.611663818,0.502538873,0.570196688,41,"1,695,015","2,481,629","5,168,631","20,391","17,892"
4,RTC,Family,SQRT(2),Family,1000,sqrt(N),20,5000,181803,"$132,577,287 ",133,"$10,826,181 ","$11,103,511 ","$132,577,287 ", $-   , $-   , $-   ,"$132,577,287 ", $-   , $-   , $-   ,-0.150301829,-15.0301829,0.08044219,1.13369E-09,554741,-0.025971597,-2.597159677,1.95898E-10,-0.192267269,1.45023E-09,-0.216857538,1.63571E-09,30,0.094671488,"415,776","489,322","$1,921 ","$1,957 ",0.513025755,0.611663818,0.502658528,0.570196688,41,"1,695,015","2,481,629","5,168,631","19,404","17,166"
5,RTC,Family,SQRT(2),Family,1000,sqrt(N),25,4000,158405,"$123,766,613 ",124,"$10,010,737 ","$9,979,517 ","$123,766,613 ", $-   , $-   , $-   ,"$123,766,613 ", $-   , $-   , $-   ,-0.150301829,-15.0301829,0.08044219,1.2144E-09,594231,-0.02469327,-2.469326986,1.99515E-10,-0.192094818,1.55207E-09,-0.216676578,1.75069E-09,30,0.094671488,"415,776","489,322","$1,923 ","$1,957 ",0.513099973,0.611663818,0.502733289,0.570196688,41,"1,695,015","2,481,629","5,168,631","16,920","15,232"
6,RTC,Family,SQRT(2),Family,1000,sqrt(N),30,3333.333333,146520,"$118,886,509 ",119,"$9,419,297 ","$9,227,757 ","$118,886,509 ", $-   , $-   , $-   ,"$118,886,509 ", $-   , $-   , $-   ,-0.150301829,-15.0301829,0.08044219,1.26425E-09,618624,-0.024036181,-2.40361809,2.02178E-10,-0.191998184,1.61497E-09,-0.21657528,1.8217E-09,30,0.094671488,"415,776","489,322","$1,925 ","$1,957 ",0.513141568,0.611663818,0.50277515,0.570196688,41,"1,695,015","2,481,629","5,168,631","16,194","15,232"
7,RTC,Family,SQRT(2),Family,1000,sqrt(N),35,2857.142857,143541,"$115,032,758 ",115,"$8,827,858 ","$8,512,448 ","$115,032,758 ", $-   , $-   , $-   ,"$115,032,758 ", $-   , $-   , $-   ,-0.150301829,-15.0301829,0.08044219,1.3066E-09,639348,-0.023572652,-2.357265203,2.04921E-10,-0.191921696,1.66841E-09,-0.216494963,1.88203E-09,30,0.094671488,"415,776","489,322","$1,926 ","$1,957 ",0.513174495,0.611663818,0.502808347,0.570196688,41,"1,695,015","2,481,629","5,168,631","16,163","15,232"
8,RTC,Family,SQRT(2),Family,1000,sqrt(N),40,2500,129716,"$112,283,319 ",112,"$8,460,513 ","$8,091,097 ","$112,283,319 ", $-   , $-   , $-   ,"$112,283,319 ", $-   , $-   , $-   ,-0.150301829,-15.0301829,0.08044219,1.33859E-09,655004,-0.023260565,-2.326056474,2.0716E-10,-0.191866592,1.70877E-09,-0.216437563,1.9276E-09,30,0.094671488,"415,776","489,322","$1,927 ","$1,957 ",0.513198221,0.611663818,0.502832073,0.570196688,41,"1,695,015","2,481,629","5,168,631","11,381","11,148"
9,RTC,Family,SQRT(2),Family,1000,sqrt(N),45,2222.222222,126882,"$110,331,696 ",110,"$8,258,063 ","$7,863,296 ","$110,331,696 ", $-   , $-   , $-   ,"$110,331,696 ", $-   , $-   , $-   ,-0.150301829,-15.0301829,0.08044219,1.36227E-09,666590,-0.02314028,-2.314027971,2.09734E-10,-0.191827193,1.73864E-09,-0.216396734,1.96133E-09,30,0.094671488,"415,776","489,322","$1,927 ","$1,957 ",0.513215186,0.611663818,0.50284895,0.570196688,41,"1,695,015","2,481,629","5,168,631","11,372","11,148"
10,RTC,Family,SQRT(2),Family,1000,sqrt(N),50,2000,125681,"$108,724,570 ",109,"$8,097,815 ","$7,636,093 ","$108,724,570 ", $-   , $-   , $-   ,"$108,724,570 ", $-   , $-   , $-   ,-0.150301829,-15.0301829,0.08044219,1.38241E-09,676443,-0.023045464,-2.304546354,2.11962E-10,-0.191794708,1.76404E-09,-0.216362968,1.99001E-09,30,0.094671488,"415,776","489,322","$1,927 ","$1,957 ",0.513229175,0.611663818,0.502862907,0.570196688,41,"1,695,015","2,481,629","5,168,631","11,372","10,672"
