id,Basic Income Type,Income Test,Payment Unit,Payment Unit2,Benefit Level,scaling Factor,BRR,Break-Even Point,All Recipients,Gross Cost,Gross Cost(M), Gross Cost to Parents , Gross Cost to Coupled Recipients , Gross Cost Families - Quartile 1 , Gross Cost Families - Quartile 2 , Gross Cost Families - Quartile 3 , Gross Cost Families - Quartile 4 , Gross Cost Individuals - Quartile 1 , Gross Cost Individuals - Quartile 2 , Gross Cost Individuals - Quartile 3 , Gross Cost Individuals - Quartile 4 ,Percentage Change in Poverty Rate,% change in PR,Poverty Rate After Basic Income,Poverty Reduction Efficiency,Poverty Reduction Efficiency (B),Mean Change in Depth of Poverty,% Change in PD,Depth of Poverty Efficiency,Percentage Change in Gini Coefficient (family income),Gini Coefficient (family income) Efficiency,Percentage Change in Gini Coefficient (individual income),Gini Coefficient (individual income) Efficiency,Mean Age of Recipients,Poverty Rate Before Basic Income, Poverty count with Basic Income , Total Number of People In Poverty Before BI , Mean Depth of Poverty After Basic Income , Mean Depth of Poverty Before BI (for recipients) ,"Gini Coefficient after BI, families",Gini Coefficient Before BI - family income,"Gini Coefficient after BI, individuals",Gini Coefficient Before BI - individual income,Total Mean Age,Total Number of Parents,Total Number of people that are in a Couple,Total Working-Age Population,Number of Recipients that are in a Couple,Number of Recipients that are Parents
1,RTC,Family,SQRT(2),Family,1000,sqrt(N),15,6667,202114,"$146,859,209.19 ",147,"$11,834,727 ","$12,424,883 ","$146,859,197 ",$13 , $-   , $-   ,"$146,859,197 ",$13 , $-   , $-   ,-0.15,-15.03,0.08044219,102.3441634,500793,-0.027551978,-2.76,1.88E-10,-0.192544997,1.31E-09,-0.217147276,1.48E-09,30,0.094671488,"415,776","489,322","$1,918 ","$1,957 ",0.512906278,0.611663818,0.502538873,0.570196688,41,"1,695,015","2,481,629","5,168,631","20,391","17,892"
2,RTC,Family,SQRT(2),Family,1000,sqrt(N),30,3333,146520,"$118,886,509.33 ",119,"$9,419,297 ","$9,227,757 ","$118,886,509 ", $-   , $-   , $-   ,"$118,886,509 ", $-   , $-   , $-   ,-0.15,-15.03,0.08044219,1.26E-09,618624,-0.024036181,-2.4,2.02E-10,-0.191998184,1.61E-09,-0.21657528,1.82E-09,30,0.094671488,"415,776","489,322","$1,925 ","$1,957 ",0.513141568,0.611663818,0.50277515,0.570196688,41,"1,695,015","2,481,629","5,168,631","16,194","15,232"
3,RTC,Family,SQRT(2),Family,1000,sqrt(N),50,2000,125681,"$108,724,569.98 ",109,"$8,097,815 ","$7,636,093 ","$108,724,570 ", $-   , $-   , $-   ,"$108,724,570 ", $-   , $-   , $-   ,-0.15,-15.03,0.08044219,1.38E-09,676443,-0.023045464,-2.3,2.12E-10,-0.191794708,1.76E-09,-0.216362968,1.99E-09,30,0.094671488,"415,776","489,322","$1,927 ","$1,957 ",0.513229175,0.611663818,0.502862907,0.570196688,41,"1,695,015","2,481,629","5,168,631","11,372","10,672"
4,RTC,Family,SQRT(2),Family,1000,sqrt(N),75,1333,113371,"$103,129,264.54 ",103,"$7,567,533 ","$6,861,462 ","$103,129,265 ", $-   , $-   , $-   ,"$103,129,265 ", $-   , $-   , $-   ,-0.15,-15.03,0.08044219,1.46E-09,713144,-0.022683492,-2.27,2.20E-10,-0.191681385,1.86E-09,-0.216245234,2.10E-09,30,0.094671488,"415,776","489,322","$1,929 ","$1,957 ",0.513277986,0.611663818,0.502911585,0.570196688,41,"1,695,015","2,481,629","5,168,631","8,255","8,546"
5,RTC,Family,Per Capita,Individual,1000,N,15,6667,202114,"$149,096,407.15 ",149,"$13,660,661 ","$14,662,081 ","$149,096,395 ",$13 , $-   , $-   ,"$149,096,395 ",$13 , $-   , $-   ,-0.15,-15.03,0.08044219,1.01E-09,493278,-0.027838774,-2.78,1.87E-10,-0.192589954,1.29E-09,-0.217195362,1.46E-09,30,0.094671488,"415,776","489,322","$1,917 ","$1,957 ",0.512886945,0.611663818,0.502519021,0.570196688,41,"1,695,015","2,481,629","5,168,631","20,391","17,892"
6,RTC,Family,Per Capita,Individual,1000,N,30,3333,146520,"$120,192,349.20 ",120,"$10,384,695 ","$10,533,597 ","$120,192,349 ", $-   , $-   , $-   ,"$120,192,349 ", $-   , $-   , $-   ,-0.15,-15.03,0.08044219,1.25E-09,611903,-0.024171988,-2.42,2.01E-10,-0.192024574,1.60E-09,-0.216603547,1.80E-09,30,0.094671488,"415,776","489,322","$1,924 ","$1,957 ",0.513130207,0.611663818,0.50276347,0.570196688,41,"1,695,015","2,481,629","5,168,631","16,194","15,232"
7,RTC,Family,Per Capita,Individual,1000,N,50,2000,125681,"$109,542,672.00 ",110,"$8,612,508 ","$8,454,195 ","$109,542,672 ", $-   , $-   , $-   ,"$109,542,672 ", $-   , $-   , $-   ,-0.15,-15.03,0.08044219,1.37E-09,671391,-0.023107648,-2.31,2.11E-10,-0.191811278,1.75E-09,-0.216380984,1.98E-09,30,0.094671488,"415,776","489,322","$1,927 ","$1,957 ",0.513222044,0.611663818,0.502855457,0.570196688,41,"1,695,015","2,481,629","5,168,631","11,372","10,672"
8,RTC,Family,Per Capita,Individual,1000,N,75,1333,113371,"$103,752,566.50 ",104,"$7,897,942 ","$7,484,764 ","$103,752,567 ", $-   , $-   , $-   ,"$103,752,567 ", $-   , $-   , $-   ,-0.15,-15.03,0.08044219,1.45E-09,708860,-0.022720365,-2.27,2.19E-10,-0.191693962,1.85E-09,-0.216258973,2.08E-09,30,0.094671488,"415,776","489,322","$1,929 ","$1,957 ",0.513272566,0.611663818,0.502905907,0.570196688,41,"1,695,015","2,481,629","5,168,631","8,255","8,546"
9,RTC,Individual,SQRT(2),Family,1000,sqrt(N),15,6667,359223,"$231,371,336.49 ",231,"$62,304,541 ","$96,937,010 ","$157,915,364 ","$17,930,543 ","$29,733,505 ","$25,791,925 ","$231,357,301 ","$10,500 ", $-   ,"$3,536 ",-0.15,-15.12,0.080356479,6.54E-10,319785,-0.039423726,-3.94,1.70E-10,-0.192947909,8.34E-10,-0.219025269,9.47E-10,36,0.094671488,"415,333","489,322","$1,908 ","$1,957 ",0.512733048,0.611663818,0.501764674,0.570196688,41,"1,695,015","2,481,629","5,168,631","177,500","111,560"
10,RTC,Individual,SQRT(2),Family,1000,sqrt(N),30,3333,259824,"$191,148,699.86 ",191,"$52,021,986 ","$81,489,948 ","$129,504,485 ","$15,300,548 ","$24,512,200 ","$21,831,466 ","$191,143,684 ","$1,481 ", $-   ,"$3,536 ",-0.15,-15.12,0.080356479,7.91E-10,387076,-0.032906435,-3.29,1.72E-10,-0.192350402,1.01E-09,-0.218203098,1.14E-09,36,0.094671488,"415,333","489,322","$1,915 ","$1,957 ",0.512989988,0.611663818,0.502103317,0.570196688,41,"1,695,015","2,481,629","5,168,631","129,498","80,236"
