id,Benefit,Scale,Beneficiary,Recipients,Cost,PovertyRate,PovertyDepths,Gini,group,BRR,quartile1,quartile2,quartile3,quartile4
1,,,,,,27.3,49.2,0.46,Baseline,,,,,
2,1000,1.4,Family,3041644,2537,24.9,44.7,0.453,Universal ,,27.9,25.5,23.8,22.9
3,1000,2,Individual,3041644,3042,24.6,44.8,0.452,Universal ,,25,25,25,25
4,5000,1.4,Family,3041644,12685,18.9,36.6,0.425,Universal ,,27.9,25.5,23.8,22.9
5,5000,2,Individual,3041644,15208,18.3,36,0.422,Universal ,,25,25,25,25
6,18000,1.4,Family,3041644,45665,4.3,7.4,0.355,Universal ,,27.9,25.5,23.8,22.9
7,18000,2,Individual,3041644,54750,3.7,6.8,0.35,Universal ,,25,25,25,25
8,5000,1.4,Family,894327,2386,24.5,36,0.443,NIT,15,89.3,10.7,0,0
9,5000,1.4,Family,499280,1277,26.7,38.4,0.45,NIT,30,100,0,0,0
10,5000,1.4,Family,282186,845,26.7,41.1,0.453,NIT,50,100,0,0,0
11,5000,2,Individual,1510755,4085,22.1,36.2,0.436,NIT,15,63.6,22.3,8.8,5.4
12,5000,2,Individual,824278,2175,25.2,38,0.446,NIT,30,73.6,15,6.2,5.2
13,5000,2,Individual,486059,1453,26,40.3,0.45,NIT,50,73,15.4,5.3,6.3
14,5000,2,Family,971279,2587,23.7,35.4,0.442,NIT,15,89.2,10.8,0,0
15,5000,2,Family,534484,1331,26.7,37.9,0.45,NIT,30,100,0,0,0
16,5000,2,Family,289888,865,26.7,40.9,0.453,NIT,50,100,0,0,0
17,10000,1.4,Family,1429140,8081,15,28.3,0.412,NIT,15,68.4,26,5.6,0
18,10000,1.4,Family,894327,4771,21.3,26.1,0.427,NIT,30,89.3,10.7,0,0
19,10000,1.4,Family,609719,3034,26.7,27.6,0.438,NIT,50,99.7,0.3,0,0
20,10000,2,Individual,2405089,14338,12.7,28.6,0.397,NIT,15,44.6,29.7,17.5,8.2
21,10000,2,Individual,1510755,8169,16.8,26.1,0.414,NIT,30,63.6,22.3,8.8,5.4
22,10000,2,Individual,1000599,5142,23.4,25.9,0.428,NIT,50,73.4,15.1,6.7,4.9
23,10000,2,Family,1656764,9271,13.4,28.3,0.404,NIT,15,65.3,29.1,5.6,0
24,10000,2,Family,971279,5175,19.1,25.4,0.424,NIT,30,89.2,10.8,0,0
25,10000,2,Family,645631,3205,26.3,26.5,0.436,NIT,50,99.7,0.3,0,0
26,18000,1.4,Family,2070845,22129,5,13.2,0.36,NIT,15,53.8,31.6,12.2,2.4
27,18000,1.4,Family,1433116,14610,7,14.4,0.381,NIT,30,71.2,24.5,4.3,0
28,18000,1.4,Family,1026854,10002,11.3,15.6,0.4,NIT,50,87,13,0,0
29,18000,2,Individual,2755348,34733,4.2,10.6,0.346,NIT,15,34.7,28.7,22.9,13.7
30,18000,2,Individual,2202146,23394,4.9,12.5,0.357,NIT,30,47,29.5,16,7.6
31,18000,2,Individual,1571393,15968,5.5,14.6,0.378,NIT,50,61.5,23.7,9.2,5.6
32,18000,2,Family,2402727,26486,4.3,12.8,0.344,NIT,15,46.8,33,17.3,3
33,18000,2,Family,1587722,16239,5.1,14.3,0.37,NIT,30,69,27.1,3.9,0
34,18000,2,Family,1100392,10792,7.4,15.1,0.393,NIT,50,86.8,13.1,0,0
